First 12 modal frequencies [Hz]
---------------------------------
mode   reference      field3      field4
   1       1.759       1.750       1.750
   2       1.860       1.856       1.860
   3       2.134       2.126       2.114
   4       2.525       2.503       2.525
   5       2.980       2.978       2.951
   6       3.442       3.421       3.442
   7       3.827       3.796       3.788
   8       7.036       7.036       7.036
   9       7.250       7.248       7.247
  10       7.793       7.788       7.793
  11       8.512       8.511       8.500
  12       9.307       9.295       9.307
