First 12 bending modes [Hz]
------------------------------------------
mode   reference      field3      field4
   1       1.657       1.642       1.640
   2       1.659       1.658       1.657
   3       1.665       1.662       1.663
   4       1.690       1.683       1.690
   5       1.767       1.763       1.756
   6       1.881       1.878       1.881
   7       1.947       1.939       1.939
   8       3.323       3.323       3.323
   9       3.778       3.776       3.771
  10       4.401       4.390       4.401
  11       5.146       5.146       5.130
  12       5.995       5.983       5.995

First 8 torsion modes [Hz]
------------------------------------------
mode   reference      field3      field4
   1       0.304       0.304       0.304
   2       0.304       0.304       0.304
   3       0.306       0.306       0.306
   4       0.307       0.307       0.307
   5       0.309       0.309       0.309
   6       0.310       0.310       0.310
   7       0.311       0.311       0.311
   8       0.608       0.608       0.608
