task,model,feature,n,metric,value,mae
binary,cnn2d,cfdac,61,accuracy,0.8688524590163934,
binary,cnn,timeseries,61,accuracy,0.4098360655737705,
binary,rf,indicators,61,accuracy,0.8688524590163934,
binary,rf,modal,61,accuracy,0.8688524590163934,
binary,xgb,indicators,61,accuracy,0.8688524590163934,
binary,xgb,modal,61,accuracy,0.8688524590163934,
col_location,cnn2d,cfdac,49,accuracy,0.16326530612244897,
col_location,cnn,frf_mag,49,accuracy,0.2653061224489796,
col_location,mlp,modal,49,accuracy,0.3673469387755102,
col_location,rf,indicators,49,accuracy,0.04081632653061224,
col_location,rf,modal,49,accuracy,0.061224489795918366,
col_location,xgb,indicators,49,accuracy,0.16326530612244897,
col_location,xgb,modal,49,accuracy,0.02040816326530612,
mass_location,mlp,modal,4,accuracy,0.25,
mass_location,rf,indicators,4,accuracy,0.25,
mass_location,rf,modal,4,accuracy,0.25,
mass_location,xgb,indicators,4,accuracy,0.0,
mass_location,xgb,modal,4,accuracy,0.25,
severity,rf,indicators,53,R2,-0.42239508315191765,0.3006657838352821
severity,rf,modal,53,R2,-0.15127574641150487,0.2993883709225192
severity,xgb,indicators,53,R2,-0.24214696884155273,0.2840922772884369
severity,xgb,modal,53,R2,-0.06222844123840332,0.2829589545726776
type,cnn2d,cfdac,61,accuracy,0.4262295081967213,
type,cnn,frf_mag,61,accuracy,0.36065573770491804,
type,cnn,timeseries,61,accuracy,0.26229508196721313,
type,rf,indicators,61,accuracy,0.16393442622950818,
type,rf,modal,61,accuracy,0.4426229508196721,
type,xgb,indicators,61,accuracy,0.14754098360655737,
type,xgb,modal,61,accuracy,0.29508196721311475,
