task,model,feature,n,metric_name,metric_val,metric_test,runtime_s,n_train,n_val,n_test
binary,cnn2d,cfdac,,accuracy,0.9613333333333334,0.944,14.86291766166687,0,0,0
binary,cnn,frf_mag,,accuracy,0.8386666666666667,0.8526666666666667,4.941930770874023,0,0,0
binary,cnn,timeseries,,accuracy,0.8453333333333334,0.842,30.489070415496826,0,0,0
binary,mlp,indicators,,accuracy,0.826,0.8213333333333334,1.5216999053955078,0,0,0
binary,mlp,modal,,accuracy,0.9946666666666667,0.9886666666666667,1.8204882144927979,0,0,0
binary,rf,indicators,,accuracy,0.924,0.916,1.2400944232940674,0,0,0
binary,rf,modal,,accuracy,0.958,0.9493333333333334,3.7949373722076416,0,0,0
binary,transformer,frf_mag,,accuracy,0.8,0.8,3.433284282684326,0,0,0
binary,transformer,timeseries,,accuracy,0.89,0.876,32.831528663635254,0,0,0
binary,xgb,indicators,,accuracy,0.9186666666666666,0.926,0.7704989910125732,0,0,0
binary,xgb,modal,,accuracy,0.9746666666666667,0.9646666666666667,1.0619690418243408,0,0,0
col_location,cnn2d,cfdac,,accuracy,0.4916759156492786,0.49444444444444446,8.682823181152344,0,0,0
col_location,cnn,frf_mag,,accuracy,0.4894561598224195,0.4688888888888889,5.658894062042236,0,0,0
col_location,cnn,timeseries,,accuracy,0.48834628190899,0.47333333333333333,7.129541397094727,0,0,0
col_location,mlp,indicators,,accuracy,0.4295227524972253,0.4166666666666667,0.9056851863861084,0,0,0
col_location,mlp,modal,,accuracy,0.5072142064372919,0.49444444444444446,1.0653445720672607,0,0,0
col_location,rf,indicators,,accuracy,0.4816870144284129,0.4811111111111111,1.4342381954193115,0,0,0
col_location,rf,modal,,accuracy,0.5094339622641509,0.4922222222222222,1.7641167640686035,0,0,0
col_location,transformer,frf_mag,,accuracy,0.26748057713651496,0.2511111111111111,3.800626039505005,0,0,0
col_location,transformer,timeseries,,accuracy,0.3873473917869034,0.36777777777777776,17.900086641311646,0,0,0
col_location,xgb,indicators,,accuracy,0.4794672586015538,0.45444444444444443,2.661818265914917,0,0,0
col_location,xgb,modal,,accuracy,0.5094339622641509,0.48777777777777775,1.624300241470337,0,0,0
mass_location,cnn2d,cfdac,,accuracy,0.9766666666666667,0.9533333333333334,1.765878677368164,0,0,0
mass_location,cnn,frf_mag,,accuracy,0.4266666666666667,0.41333333333333333,0.8908097743988037,0,0,0
mass_location,cnn,timeseries,,accuracy,0.4766666666666667,0.47333333333333333,5.6570515632629395,0,0,0
mass_location,mlp,indicators,,accuracy,0.9766666666666667,0.9633333333333334,0.6217882633209229,0,0,0
mass_location,mlp,modal,,accuracy,1.0,0.9866666666666667,0.2287909984588623,0,0,0
mass_location,rf,indicators,,accuracy,0.98,0.9666666666666667,0.28629422187805176,0,0,0
mass_location,rf,modal,,accuracy,1.0,0.99,0.2899501323699951,0,0,0
mass_location,transformer,frf_mag,,accuracy,0.4766666666666667,0.48,0.6823546886444092,0,0,0
mass_location,transformer,timeseries,,accuracy,0.6833333333333333,0.6366666666666667,6.059870004653931,0,0,0
mass_location,xgb,indicators,,accuracy,0.99,0.9733333333333334,0.5770037174224854,0,0,0
mass_location,xgb,modal,,accuracy,1.0,0.9866666666666667,0.31707763671875,0,0,0
severity,cnn2d,cfdac,,R2,0.39846938848495483,0.4199444055557251,7.400938987731934,0,0,0
severity,cnn,frf_mag,,R2,0.2530056834220886,0.2129012942314148,3.7591583728790283,0,0,0
severity,cnn,timeseries,,R2,0.2575575113296509,0.22734969854354858,24.622376918792725,0,0,0
severity,mlp,indicators,,R2,0.37596583366394043,0.34406644105911255,1.1931722164154053,0,0,0
severity,mlp,modal,,R2,0.5513070225715637,0.5418701171875,1.240140438079834,0,0,0
severity,rf,indicators,,R2,0.49809312882490453,0.4867599011607452,6.733672380447388,0,0,0
severity,rf,modal,,R2,0.5931187752625133,0.5727793417459944,18.02321696281433,0,0,0
severity,transformer,frf_mag,,R2,0.02790546417236328,0.012962818145751953,3.0104129314422607,0,0,0
severity,transformer,timeseries,,R2,0.2024320363998413,0.16794723272323608,16.21095061302185,0,0,0
severity,xgb,indicators,,R2,0.4673452377319336,0.4677273631095886,0.3252756595611572,0,0,0
severity,xgb,modal,,R2,0.5511954426765442,0.5318478345870972,3.089080810546875,0,0,0
type,cnn2d,cfdac,,accuracy,0.796,0.8033333333333333,13.912433624267578,0,0,0
type,cnn,frf_mag,,accuracy,0.6773333333333333,0.6893333333333334,10.88052773475647,0,0,0
type,cnn,timeseries,,accuracy,0.654,0.6566666666666666,35.10527753829956,0,0,0
type,mlp,indicators,,accuracy,0.7033333333333334,0.7006666666666667,1.828329086303711,0,0,0
type,mlp,modal,,accuracy,0.8686666666666667,0.8766666666666667,1.5432312488555908,0,0,0
type,rf,indicators,,accuracy,0.7566666666666667,0.7446666666666667,2.006263017654419,0,0,0
type,rf,modal,,accuracy,0.8153333333333334,0.8113333333333334,1.182340383529663,0,0,0
type,transformer,frf_mag,,accuracy,0.476,0.5006666666666667,10.064920663833618,0,0,0
type,transformer,timeseries,,accuracy,0.5573333333333333,0.576,30.154788494110107,0,0,0
type,xgb,indicators,,accuracy,0.774,0.7593333333333333,4.002729654312134,0,0,0
type,xgb,modal,,accuracy,0.8066666666666666,0.822,8.850003480911255,0,0,0
